,0,1,2,3,4
Horodateur,synthetic,synthetic,synthetic,synthetic,synthetic
"1. How do you perceive your academic performance compared to your peers? (1 = Much lower, 5 = Much higher) | كيف ترى أدائك الأكاديمي مقارنة بزملائك؟ (1 = أقل بكثير، 5 = أعلى بكثير)",3,3,3,3,4
2. Do you tend to hide your stress from friends and family? | هل تميل إلى إخفاء توترك عن أصدقائك وعائلتك؟,Often / غالباً,Sometimes / أحياناً,Sometimes / أحياناً,Always / دائماً,Sometimes / أحياناً
3. At what time of day do you feel most productive? | في أي وقت من اليوم تشعر بأكبر قدر من الإنتاجية؟,Early morning / الصباح الباكر,Early morning / الصباح الباكر,Early morning / الصباح الباكر,Early morning / الصباح الباكر,Early morning / الصباح الباكر
4. How long can you maintain deep focus while studying? | كم من الوقت يمكنك الحفاظ على تركيز عميق أثناء الدراسة؟,30–60 minutes / 30-60 دقيقة,30–60 minutes / 30-60 دقيقة,30–60 minutes / 30-60 دقيقة,30–60 minutes / 30-60 دقيقة,30–60 minutes / 30-60 دقيقة
5. What do you consider your strongest academic skill? | ما هي أقوى مهارة أكاديمية لديك؟,Problem solving / حل المشكلات,Problem solving / حل المشكلات,Problem solving / حل المشكلات,Other / أخرى,Communication / التواصل
6. How many hours per day do you spend studying on average? | كم ساعة في اليوم تقضي في الدراسة في المتوسط؟,2–4h,1–2h,2–4h,Less than 1h / أقل من ساعة,1–2h
7. What time of day do you usually study? | في أي وقت من اليوم تدرس عادةً؟,Evening / المساء,Evening / المساء,Morning / الصباح,Morning / الصباح,Afternoon / بعد الظهر
8. Where do you study most often? | أين تدرس في الغالب؟,My room / غرفتي,My room / غرفتي,My room / غرفتي,My room / غرفتي,My room / غرفتي
9. How would you rate your social life in your study environment? | كيف تقيّم حياتك الاجتماعية في بيئتك الدراسية؟,Active / نشطة,Active / نشطة,Active / نشطة,Limited / محدودة,Limited / محدودة
10. How many hours do you sleep on a typical study night? | كم ساعة تنام في ليلة دراسية عادية؟,5–6h,5–6h,5–6h,7–8h,5–6h
"11. How satisfied are you with your current field of study or specialization? (1 = not at all, 5 = very) | ما مدى رضاك عن مجال دراستك أو تخصصك الحالي؟ (1 = غير راضٍ، 5 = راضٍ جداً)",5,3,5,1,5
12. Why did you choose your current field of study or specialization? | لماذا اخترت مجال دراستك أو تخصصك الحالي؟,Passion / شغف,No clear reason / لا سبب واضح,Passion / شغف,No clear reason / لا سبب واضح,Passion / شغف
"13. When you do not understand a lesson, what do you generally do? | عندما لا تفهم درساً، ماذا تفعل عادةً؟",I search alone online / أبحث وحدي على الإنترنت,I search alone online / أبحث وحدي على الإنترنت,I search alone online / أبحث وحدي على الإنترنت,I search alone online / أبحث وحدي على الإنترنت,I search alone online / أبحث وحدي على الإنترنت
14. Do you pretend to be doing well in front of your teachers even when you are suffering? | هل تتظاهر بأنك بخير أمام أساتذتك أو معلميك حتى عندما تعاني؟,Often / غالباً,Sometimes / أحياناً,"No, I am always honest / لا، أنا صريح/صريحة دائماً",Always / دائماً,Sometimes / أحياناً
15. Do you feel that your good grades do not reflect your real exhaustion? | هل تشعر أن درجاتك الجيدة لا تعكس إرهاقك الحقيقي؟,A little / قليلاً,A little / قليلاً,"No, my grades reflect my state well / لا، درجاتي تعكس حالتي جيداً",Quite often / غالباً,"No, my grades reflect my state well / لا، درجاتي تعكس حالتي جيداً"
16. Do you avoid asking for help for fear of appearing weak? | هل تتجنب طلب المساعدة خوفاً من الظهور بضعف؟,"No, never / لا، أبداً","No, never / لا، أبداً","No, never / لا، أبداً",Sometimes / أحياناً,"No, never / لا، أبداً"
17. How often do you act differently from what you really feel in your study environment? | كم مرة تتصرف بشكل مختلف عما تشعر به حقاً في بيئتك الدراسية؟,Sometimes / أحياناً,Sometimes / أحياناً,Never / أبداً,Always / دائماً,Sometimes / أحياناً
18. Do you smile or laugh to hide your stress? | هل تبتسم أو تضحك لإخفاء توترك؟,Sometimes / أحياناً,Sometimes / أحياناً,Never / أبداً,It is my usual behavior / إنه سلوكي المعتاد,Never / أبداً
19. Do you feel like you are playing a role at school rather than being yourself? | هل تشعر أنك تؤدي دوراً في مدرستك أو جامعتك بدلاً من أن تكون نفسك؟,A little / قليلاً,"No, I am always myself / لا، أنا نفسي دائماً","No, I am always myself / لا، أنا نفسي دائماً","No, I am always myself / لا، أنا نفسي دائماً","No, I am always myself / لا، أنا نفسي دائماً"
"20. When you are overwhelmed with studies, who really knows? | عندما تكون محتشداً بالدراسة، من يعرف حقاً؟","No one, I manage alone / لا أحد، أتدبر أمري وحدي",Family and close friends / العائلة والأصدقاء المقربين,Family and close friends / العائلة والأصدقاء المقربين,"No one, I manage alone / لا أحد، أتدبر أمري وحدي",Family and close friends / العائلة والأصدقاء المقربين
21. Have you ever felt that no one would really understand what you are going through? | هل سبق أن شعرت أن لا أحد سيفهم حقاً ما تمر به؟,Often / غالباً,Sometimes / أحياناً,Sometimes / أحياناً,"Yes, always / نعم، دائماً",Sometimes / أحياناً
22. How often do you feel that your real level is different from the image you project? | كم مرة تشعر أن مستواك الحقيقي مختلف عن الصورة التي تُظهرها؟,Sometimes / أحياناً,Often / غالباً,Sometimes / أحياناً,Always / دائماً,Sometimes / أحياناً
23. Do you think other students have fewer difficulties than you? | هل تعتقد أن الطلاب الآخرين لديهم صعوبات أقل منك؟,"No, everyone has challenges / لا، للجميع تحدياته","No, everyone has challenges / لا، للجميع تحدياته","No, everyone has challenges / لا، للجميع تحدياته","No, everyone has challenges / لا، للجميع تحدياته","No, everyone has challenges / لا، للجميع تحدياته"
"24. After an exhausting day, how do you behave the next day in class? | بعد يوم مرهق، كيف تتصرف في اليوم التالي في الصف أو المحاضرة؟",I act like everything is fine / أتصرف وكأن كل شيء على ما يرام,I act like everything is fine / أتصرف وكأن كل شيء على ما يرام,I act like everything is fine / أتصرف وكأن كل شيء على ما يرام,I stay silent / أبقى صامتاً/صامتة,I stay silent / أبقى صامتاً/صامتة
"25. When you make a study plan, how often do you follow it? | عندما تضع خطة دراسية، كم مرة تلتزم بها؟",Sometimes / أحياناً,Sometimes / أحياناً,Sometimes / أحياناً,Sometimes / أحياناً,Sometimes / أحياناً
26. How many hours per day do you spend on social media or series instead of studying? | كم ساعة في اليوم تقضي على وسائل التواصل الاجتماعي أو المسلسلات بدلاً من الدراسة؟,2–4h,2–4h,1–2h,More than 6h / أكثر من 6 ساعات,2–4h
