Horodateur,"1. How do you perceive your academic performance compared to your peers? (1 = Much lower, 5 = Much higher) | كيف ترى أدائك الأكاديمي مقارنة بزملائك؟ (1 = أقل بكثير، 5 = أعلى بكثير)",2. Do you tend to hide your stress from friends and family? | هل تميل إلى إخفاء توترك عن أصدقائك وعائلتك؟,3. At what time of day do you feel most productive? | في أي وقت من اليوم تشعر بأكبر قدر من الإنتاجية؟,4. How long can you maintain deep focus while studying? | كم من الوقت يمكنك الحفاظ على تركيز عميق أثناء الدراسة؟,5. What do you consider your strongest academic skill? | ما هي أقوى مهارة أكاديمية لديك؟,6. How many hours per day do you spend studying on average? | كم ساعة في اليوم تقضي في الدراسة في المتوسط؟,7. What time of day do you usually study? | في أي وقت من اليوم تدرس عادةً؟,8. Where do you study most often? | أين تدرس في الغالب؟,9. How would you rate your social life in your study environment? | كيف تقيّم حياتك الاجتماعية في بيئتك الدراسية؟,10. How many hours do you sleep on a typical study night? | كم ساعة تنام في ليلة دراسية عادية؟,"11. How satisfied are you with your current field of study or specialization? (1 = not at all, 5 = very) | ما مدى رضاك عن مجال دراستك أو تخصصك الحالي؟ (1 = غير راضٍ، 5 = راضٍ جداً)",12. Why did you choose your current field of study or specialization? | لماذا اخترت مجال دراستك أو تخصصك الحالي؟,"13. When you do not understand a lesson, what do you generally do? | عندما لا تفهم درساً، ماذا تفعل عادةً؟",14. Do you pretend to be doing well in front of your teachers even when you are suffering? | هل تتظاهر بأنك بخير أمام أساتذتك أو معلميك حتى عندما تعاني؟,15. Do you feel that your good grades do not reflect your real exhaustion? | هل تشعر أن درجاتك الجيدة لا تعكس إرهاقك الحقيقي؟,16. Do you avoid asking for help for fear of appearing weak? | هل تتجنب طلب المساعدة خوفاً من الظهور بضعف؟,17. How often do you act differently from what you really feel in your study environment? | كم مرة تتصرف بشكل مختلف عما تشعر به حقاً في بيئتك الدراسية؟,18. Do you smile or laugh to hide your stress? | هل تبتسم أو تضحك لإخفاء توترك؟,19. Do you feel like you are playing a role at school rather than being yourself? | هل تشعر أنك تؤدي دوراً في مدرستك أو جامعتك بدلاً من أن تكون نفسك؟,"20. When you are overwhelmed with studies, who really knows? | عندما تكون محتشداً بالدراسة، من يعرف حقاً؟",21. Have you ever felt that no one would really understand what you are going through? | هل سبق أن شعرت أن لا أحد سيفهم حقاً ما تمر به؟,22. How often do you feel that your real level is different from the image you project? | كم مرة تشعر أن مستواك الحقيقي مختلف عن الصورة التي تُظهرها؟,23. Do you think other students have fewer difficulties than you? | هل تعتقد أن الطلاب الآخرين لديهم صعوبات أقل منك؟,"24. After an exhausting day, how do you behave the next day in class? | بعد يوم مرهق، كيف تتصرف في اليوم التالي في الصف أو المحاضرة؟","25. When you make a study plan, how often do you follow it? | عندما تضع خطة دراسية، كم مرة تلتزم بها؟",26. How many hours per day do you spend on social media or series instead of studying? | كم ساعة في اليوم تقضي على وسائل التواصل الاجتماعي أو المسلسلات بدلاً من الدراسة؟,27. Do you delay tasks even knowing it will harm you? | هل تؤجل المهام حتى وإن كنت تعلم أن ذلك سيضرك؟,28. How do you describe your relationship with deadlines? | كيف تصف علاقتك بالمواعيد النهائية؟,"29. How often do you use ""I will do it tomorrow"" as a strategy? | كم مرة تستخدم عبارة ""سأفعلها غداً"" كاستراتيجية؟",30. Does fear of doing badly push you not to start? | هل يدفعك الخوف من الأداء السيئ إلى عدم البدء؟,31. How far in advance do you revise before an important exam? | كم من الوقت مسبقاً تراجع قبل امتحان مهم؟,32. Do you work better under pressure or with time ahead? | هل تعمل بشكل أفضل تحت الضغط أم عندما يكون لديك وقت؟,33. How many times have you lost marks because of a late submission? | كم مرة خسرت درجات بسبب تسليم متأخر؟,34. How do you feel about upcoming exams? | كيف تشعر حيال الامتحانات القادمة؟,35. Do your natural strengths match what your field of study requires? | هل تتوافق قدراتك الطبيعية مع ما يتطلبه مجال دراستك؟,36. Have you ever seriously considered changing your field of study or school? | هل فكرت بجدية في تغيير مجال دراستك أو مدرستك/جامعتك؟,37. Which of these best describes your learning style? | أي من هذه الأوصاف يعبّر عن أسلوبك في التعلم؟,38. Do you have a clear career goal after graduation? | هل لديك هدف مهني واضح بعد التخرج؟,"39. If you could go back, would you choose the same field of study again? | لو عدت بالزمن، هل تختار نفس مجال الدراسة مرة أخرى؟","40. If you could give one tip to a new student, what would it be? | إذا كان بإمكانك تقديم نصيحة واحدة لطالب جديد، ماذا ستقول؟",data_source
12/05/2026 22:10:24,4,Often / غالباً,Late night / الليل المتأخر,30–60 minutes / 30-60 دقيقة,Problem solving / حل المشكلات,1–2h,Late night / منتصف الليل,My room / غرفتي,Limited / محدودة,5–6h,4,Job market / سوق العمل,I search alone online / أبحث وحدي على الإنترنت,Often / غالباً,A little / قليلاً,Often / غالباً,Often / غالباً,Sometimes / أحياناً,A little / قليلاً,Family and close friends / العائلة والأصدقاء المقربين,Often / غالباً,Often / غالباً,"Yes, they all seem at ease / نعم، يبدو أنهم جميعاً مرتاحون",I act like everything is fine / أتصرف وكأن كل شيء على ما يرام,Often / غالباً,1–2h,Rarely / نادراً,I plan well in advance / أخطط مسبقاً جيداً,Rarely / نادراً,Sometimes / أحياناً,1–2 weeks / 1-2 أسابيع,Much better with time / أفضل بكثير عندما يكون لدي وقت,Never / أبداً,A little anxious / قليلاً قلق,Somewhat / نوعاً ما,No / لا,Reading/Writing / القراءة والكتابة,Somewhat / نوعاً ما,Not sure / غير متأكد,when you feel that you need rest you shoud take some rest cuz thsi is what can maek you go farder ,real
12/05/2026 22:15:48,5,Always / دائماً,Late night / الليل المتأخر,1–2 hours / 1-2 ساعة,Problem solving / حل المشكلات,2–4h,Late night / منتصف الليل,My room / غرفتي,Limited / محدودة,5–6h,5,Passion / شغف,I search alone online / أبحث وحدي على الإنترنت,Often / غالباً,"No, my grades reflect my state well / لا، درجاتي تعكس حالتي جيداً",Sometimes / أحياناً,Often / غالباً,Sometimes / أحياناً,"No, I am always myself / لا، أنا نفسي دائماً","No one, I manage alone / لا أحد، أتدبر أمري وحدي",Often / غالباً,Often / غالباً,"No, everyone has challenges / لا، للجميع تحدياته",I act like everything is fine / أتصرف وكأن كل شيء على ما يرام,Sometimes / أحياناً,1–2h,Rarely / نادراً,I plan well in advance / أخطط مسبقاً جيداً,Sometimes / أحياناً,Sometimes / أحياناً,1–2 weeks / 1-2 أسابيع,Better under pressure / أفضل تحت الضغط,Never / أبداً,A little anxious / قليلاً قلق,Somewhat / نوعاً ما,No / لا,Hands-on / عملي تطبيقي,Not yet / ليس بعد,"Yes, definitely / نعم، بالتأكيد",every one have their path do your best and enjoy it ,real
12/05/2026 23:24:06,4,Sometimes / أحياناً,Late night / الليل المتأخر,Less than 30 min / أقل من 30 دقيقة,Creativity / الإبداع,Less than 1h / أقل من ساعة,Late night / منتصف الليل,My room / غرفتي,Active / نشطة,Less than 5h / أقل من 5 ساعات,2,Job market / سوق العمل,I search alone online / أبحث وحدي على الإنترنت,Always / دائماً,"Yes, exactly / نعم، تماماً",Always / دائماً,Always / دائماً,It is my usual behavior / إنه سلوكي المعتاد,Almost all the time / تقريباً طوال الوقت,"No one, I manage alone / لا أحد، أتدبر أمري وحدي","Yes, always / نعم، دائماً",Always / دائماً,Maybe a little / ربما قليلاً,I act like everything is fine / أتصرف وكأن كل شيء على ما يرام,Never / أبداً,More than 6h / أكثر من 6 ساعات,Always / دائماً,I meet them but at the last moment / ألتزم بها لكن في اللحظة الأخيرة,It is my default mode / إنه نمطي الافتراضي,Sometimes / أحياناً,3–5 days / 3-5 أيام,Better under pressure / أفضل تحت الضغط,Once / مرة واحدة,Overwhelmed / مرهق,Not really / ليس تماماً,I thought about it / فكرت في ذلك,Visual / بصري,Somewhat / نوعاً ما,Probably yes / ربما نعم,استمتع بالرحلة ....لا شيء يستحق ,real
12/05/2026 23:32:17,3,Sometimes / أحياناً,Early morning / الصباح الباكر,30–60 minutes / 30-60 دقيقة,Other / أخرى,Less than 1h / أقل من ساعة,Morning / الصباح,School / المدرسة أو الجامعة,Active / نشطة,7–8h,5,Passion / شغف,I search alone online / أبحث وحدي على الإنترنت,Sometimes / أحياناً,"No, my grades reflect my state well / لا، درجاتي تعكس حالتي جيداً","No, never / لا، أبداً",Never / أبداً,Sometimes / أحياناً,"No, I am always myself / لا، أنا نفسي دائماً","No one, I manage alone / لا أحد، أتدبر أمري وحدي",Sometimes / أحياناً,Sometimes / أحياناً,"No, everyone has challenges / لا، للجميع تحدياته",I act like everything is fine / أتصرف وكأن كل شيء على ما يرام,Often / غالباً,Less than 1h / أقل من ساعة,Sometimes / أحياناً,I plan well in advance / أخطط مسبقاً جيداً,Rarely / نادراً,Rarely / نادراً,1–2 weeks / 1-2 أسابيع,Much better with time / أفضل بكثير عندما يكون لدي وقت,Never / أبداً,Calm and prepared / هادئ ومستعد,"Yes, very much / نعم، كثيراً",No / لا,Hands-on / عملي تطبيقي,"Yes, very clear / نعم، واضح جداً","Yes, definitely / نعم، بالتأكيد",ادرس بجد,real
12/05/2026 23:38:00,3,Always / دائماً,Early morning / الصباح الباكر,30–60 minutes / 30-60 دقيقة,Time management / إدارة الوقت,Less than 1h / أقل من ساعة,Morning / الصباح,My room / غرفتي,Limited / محدودة,7–8h,4,Job market / سوق العمل,I ask the teacher / أسأل الأستاذ أو المعلم,Often / غالباً,"No, my grades reflect my state well / لا، درجاتي تعكس حالتي جيداً","No, never / لا، أبداً",Sometimes / أحياناً,Sometimes / أحياناً,"No, I am always myself / لا، أنا نفسي دائماً","No one, I manage alone / لا أحد، أتدبر أمري وحدي","Yes, always / نعم، دائماً",Rarely / نادراً,"No, everyone has challenges / لا، للجميع تحدياته",I stay silent / أبقى صامتاً/صامتة,Sometimes / أحياناً,4–6h,Often / غالباً,Pressure motivates me / الضغط يحفزني,Often / غالباً,Sometimes / أحياناً,1–2 days / 1-2 يوم,Better under pressure / أفضل تحت الضغط,Never / أبداً,Very anxious / قلق جداً,"Yes, very much / نعم، كثيراً",No / لا,Hands-on / عملي تطبيقي,Somewhat / نوعاً ما,"Yes, definitely / نعم، بالتأكيد",ادرس بجد,real
12/05/2026 23:38:01,3,Always / دائماً,Evening / المساء,Less than 30 min / أقل من 30 دقيقة,Time management / إدارة الوقت,Less than 1h / أقل من ساعة,Afternoon / بعد الظهر,Library / المكتبة,Active / نشطة,5–6h,5,No clear reason / لا سبب واضح,I ask a classmate / أسأل زميلاً,"No, I am always honest / لا، أنا صريح/صريحة دائماً","No, my grades reflect my state well / لا، درجاتي تعكس حالتي جيداً","No, never / لا، أبداً",Sometimes / أحياناً,Sometimes / أحياناً,"No, I am always myself / لا، أنا نفسي دائماً",Family and close friends / العائلة والأصدقاء المقربين,Sometimes / أحياناً,Sometimes / أحياناً,"No, everyone has challenges / لا، للجميع تحدياته",I act like everything is fine / أتصرف وكأن كل شيء على ما يرام,Often / غالباً,4–6h,Sometimes / أحياناً,Pressure motivates me / الضغط يحفزني,Often / غالباً,"No, never / لا، أبداً",Same day / نفس اليوم,Much better with time / أفضل بكثير عندما يكون لدي وقت,More than 3 times / أكثر من 3 مرات,Calm and prepared / هادئ ومستعد,Somewhat / نوعاً ما,I thought about it / فكرت في ذلك,Hands-on / عملي تطبيقي,Not yet / ليس بعد,"Yes, definitely / نعم، بالتأكيد","لا شيء سهل و لا شيء صعب، التحصيل و الدراسة تحتاج الى المتابرة و الجد، بدءا يبدو كل شيء صعب لكن مع المحاولة و التعلم يصبح ما كان صعبا سهلا. 
فقط فكرة واحدة آمن بها و لا تدعها تفارق خاطرك، أنّ الله لا يضيع عمل آي أحد لذا اطمئن. ما لك فهو لك و ما ليس لك فلا خير لك فيه.",real
12/05/2026 23:41:54,3,Often / غالباً,Late night / الليل المتأخر,30–60 minutes / 30-60 دقيقة,Problem solving / حل المشكلات,1–2h,Evening / المساء,My room / غرفتي,Limited / محدودة,5–6h,3,Family pressure / ضغط عائلي,I search alone online / أبحث وحدي على الإنترنت,"No, I am always honest / لا، أنا صريح/صريحة دائماً","No, my grades reflect my state well / لا، درجاتي تعكس حالتي جيداً","No, never / لا، أبداً",Always / دائماً,It is my usual behavior / إنه سلوكي المعتاد,Almost all the time / تقريباً طوال الوقت,"No one, I manage alone / لا أحد، أتدبر أمري وحدي","Yes, always / نعم، دائماً",Always / دائماً,"No, everyone has challenges / لا، للجميع تحدياته",I act like everything is fine / أتصرف وكأن كل شيء على ما يرام,Never / أبداً,2–4h,Sometimes / أحياناً,I often ignore them / أتجاهلها غالباً,It is my default mode / إنه نمطي الافتراضي,"Yes, always / نعم، دائماً",Same day / نفس اليوم,Much better with time / أفضل بكثير عندما يكون لدي وقت,Once / مرة واحدة,Overwhelmed / مرهق,Somewhat / نوعاً ما,Yes / نعم,Hands-on / عملي تطبيقي,No idea / لا فكرة,Probably yes / ربما نعم,"Know you level. Whatever you chose, make sure to do it well so that you'll never regret. Be assured that as soon as there's life, there's hope too. You can do everything you want. Stay confident about yourself. ",real
12/05/2026 23:45:38,3,Often / غالباً,Late night / الليل المتأخر,30–60 minutes / 30-60 دقيقة,Problem solving / حل المشكلات,1–2h,Late night / منتصف الليل,My room / غرفتي,Active / نشطة,Less than 5h / أقل من 5 ساعات,5,No clear reason / لا سبب واضح,I search alone online / أبحث وحدي على الإنترنت,Often / غالباً,A little / قليلاً,"No, never / لا، أبداً",Sometimes / أحياناً,It is my usual behavior / إنه سلوكي المعتاد,Sometimes yes / أحياناً نعم,Family and close friends / العائلة والأصدقاء المقربين,"Yes, always / نعم، دائماً",Rarely / نادراً,"No, everyone has challenges / لا، للجميع تحدياته",I act like everything is fine / أتصرف وكأن كل شيء على ما يرام,Sometimes / أحياناً,4–6h,Sometimes / أحياناً,Pressure motivates me / الضغط يحفزني,Sometimes / أحياناً,"No, never / لا، أبداً",3–5 days / 3-5 أيام,Much better with time / أفضل بكثير عندما يكون لدي وقت,2–3 times / 2-3 مرات,A little anxious / قليلاً قلق,Somewhat / نوعاً ما,No / لا,Reading/Writing / القراءة والكتابة,"Yes, very clear / نعم، واضح جداً","Yes, definitely / نعم، بالتأكيد",Chose carefully your career then don’t give up ,real
12/05/2026 23:46:06,5,Never / أبداً,Evening / المساء,More than 2 hours / أكثر من ساعتين,Creativity / الإبداع,2–4h,Evening / المساء,My room / غرفتي,Active / نشطة,More than 8h / أكثر من 8 ساعات,2,Job market / سوق العمل,I ask the teacher / أسأل الأستاذ أو المعلم,Rarely / نادراً,"No, my grades reflect my state well / لا، درجاتي تعكس حالتي جيداً","No, never / لا، أبداً",Rarely / نادراً,Rarely / نادراً,Sometimes yes / أحياناً نعم,Family and close friends / العائلة والأصدقاء المقربين,"Yes, always / نعم، دائماً",Rarely / نادراً,"No, everyone has challenges / لا، للجميع تحدياته",I act like everything is fine / أتصرف وكأن كل شيء على ما يرام,Sometimes / أحياناً,2–4h,Sometimes / أحياناً,Pressure motivates me / الضغط يحفزني,Rarely / نادراً,"No, never / لا، أبداً",1–2 days / 1-2 يوم,Better under pressure / أفضل تحت الضغط,2–3 times / 2-3 مرات,Calm and prepared / هادئ ومستعد,Not really / ليس تماماً,Yes / نعم,Reading/Writing / القراءة والكتابة,Somewhat / نوعاً ما,Probably yes / ربما نعم,Always develops your personal competence ,real
12/05/2026 23:46:21,5,Never / أبداً,Early morning / الصباح الباكر,More than 2 hours / أكثر من ساعتين,Problem solving / حل المشكلات,More than 4h / أكثر من 4 ساعات,Afternoon / بعد الظهر,Café / المقهى,Very active / نشطة جداً,Less than 5h / أقل من 5 ساعات,1,No clear reason / لا سبب واضح,I ignore and pretend to understand / أتجاهل وأتظاهر بالفهم,Always / دائماً,"Yes, exactly / نعم، تماماً","No, never / لا، أبداً",Never / أبداً,Never / أبداً,"No, I am always myself / لا، أنا نفسي دائماً",Only one friend / صديق/ة واحد/ة فقط,"No, never / لا، أبداً",Never / أبداً,Probably yes / على الأرجح نعم,I act like everything is fine / أتصرف وكأن كل شيء على ما يرام,Always / دائماً,4–6h,Always / دائماً,I plan well in advance / أخطط مسبقاً جيداً,Sometimes / أحياناً,"No, never / لا، أبداً",Same day / نفس اليوم,Better under pressure / أفضل تحت الضغط,Never / أبداً,Calm and prepared / هادئ ومستعد,Not really / ليس تماماً,Yes / نعم,Listening / سمعي,No idea / لا فكرة,"No, never / لا، أبداً",لا تختر هذا التخصُّص,real
